latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-23.36403,-67.73535,318.72,0.44,0.46,2020-01-01,0605,N,VIIRS,n,2,268.43,1.64,N,1
-23.82285,-70.31541,336.24,0.48,0.4,2020-01-01,0605,N,VIIRS,n,2,289.4,3.22,N,2
-22.316,-68.87949,313.89,0.55,0.42,2020-01-01,0605,N,VIIRS,n,2,282.42,3.66,N,2
-23.82348,-70.31064,300.84,0.48,0.4,2020-01-01,0605,N,VIIRS,n,2,286.6,3.22,N,2
-23.82655,-70.31604,321.67,0.48,0.4,2020-01-01,0605,N,VIIRS,n,2,285.83,1.77,N,2
-23.82718,-70.31125,299.53,0.48,0.4,2020-01-01,0605,N,VIIRS,n,2,286.14,1.77,N,2
-32.82859,-71.24361,297.35,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,285.47,0.75,N,0
-33.14976,-70.83096,301.13,0.57,0.43,2020-01-01,0608,N,VIIRS,n,2,290.36,1.17,N,2
-34.10397,-70.45889,341.94,0.41,0.45,2020-01-01,0608,N,VIIRS,n,2,290.14,6.17,N,2
-34.10445,-70.45444,299.41,0.41,0.45,2020-01-01,0608,N,VIIRS,n,2,288.53,1.5,N,2
-34.10819,-70.45912,332.33,0.41,0.45,2020-01-01,0608,N,VIIRS,n,2,288.98,3.75,N,2
-34.10867,-70.45467,299.41,0.41,0.45,2020-01-01,0608,N,VIIRS,n,2,288.6,1.87,N,2
-34.23193,-71.09706,308.97,0.57,0.43,2020-01-01,0608,N,VIIRS,n,2,289.66,1.61,N,0
-34.23601,-71.09732,329.91,0.57,0.43,2020-01-01,0608,N,VIIRS,n,2,292.05,4.81,N,0
-35.46266,-71.87321,304.12,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,289.84,1.04,N,0
-35.4666,-71.87378,303.16,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,290.14,1.04,N,0
-35.46511,-71.87415,311.89,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,290.36,1.66,N,0
-35.4697,-71.86878,305.74,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,290,1.66,N,0
-35.47035,-71.86288,302.59,0.54,0.42,2020-01-01,0608,N,VIIRS,n,2,290.93,1.44,N,0
