event_id_final,comuna,latitud,longitud,time_start,time_end,frp_inicial,frp_max,duracion_horas,delta_frp,target_transicion,temperature_2m_mean,relativehumidity_2m_mean,windspeed_10m_mean,precipitation_sum,temperature_2m_mean_lag1,temperature_2m_mean_lag2,temperature_2m_mean_lag3,relativehumidity_2m_mean_lag1,relativehumidity_2m_mean_lag2,relativehumidity_2m_mean_lag3,windspeed_10m_mean_lag1,windspeed_10m_mean_lag2,windspeed_10m_mean_lag3,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_lag3
FIRE_3240,Mulchén,-38.08172413793104,-72.2344827586207,2023-02-12 05:33:00,2023-02-21 06:05:00,0.5,81.5,216.53333333333333,81.0,1,0.6972548342541437,0.4771362586605081,0.2144595910418695,0.0047021943573667,0.7004488950276244,0.7495683701657458,0.7408494475138121,0.4762124711316396,0.4863741339491916,0.4817551963048498,0.3335767607919506,0.312317429406037,0.3297630639402791,0.0,0.0,0.0
FIRE_3241,Mulchén,-37.873333333333335,-72.33333333333333,2023-02-12 05:33:00,2023-02-12 17:53:00,2.68,3.31,12.333333333333334,0.6299999999999999,0,0.6972548342541437,0.4771362586605081,0.2144595910418695,0.0047021943573667,0.7004488950276244,0.7495683701657458,0.7408494475138121,0.4762124711316396,0.4863741339491916,0.4817551963048498,0.3335767607919506,0.312317429406037,0.3297630639402791,0.0,0.0,0.0
FIRE_3242,Mulchén,-38.16,-72.40799999999999,2023-02-12 05:33:00,2023-02-14 18:56:00,6.04,91.83,61.38333333333333,85.78999999999999,1,0.6972548342541437,0.4771362586605081,0.2144595910418695,0.0047021943573667,0.7004488950276244,0.7495683701657458,0.7408494475138121,0.4762124711316396,0.4863741339491916,0.4817551963048498,0.3335767607919506,0.312317429406037,0.3297630639402791,0.0,0.0,0.0
FIRE_3243,Mulchén,-37.71333333333333,-72.40333333333334,2023-02-12 17:53:00,2023-02-13 17:34:00,1.78,10.82,23.683333333333334,9.040000000000001,1,0.6972548342541437,0.4771362586605081,0.2144595910418695,0.0047021943573667,0.7004488950276244,0.7495683701657458,0.7408494475138121,0.4762124711316396,0.4863741339491916,0.4817551963048498,0.3335767607919506,0.312317429406037,0.3297630639402791,0.0,0.0,0.0
FIRE_3244,Mulchén,-37.74,-72.685,2023-02-12 05:33:00,2023-02-12 19:34:00,0.45,4.89,14.016666666666667,4.4399999999999995,1,0.6972548342541437,0.4771362586605081,0.2144595910418695,0.0047021943573667,0.7004488950276244,0.7495683701657458,0.7408494475138121,0.4762124711316396,0.4863741339491916,0.4817551963048498,0.3335767607919506,0.312317429406037,0.3297630639402791,0.0,0.0,0.0
FIRE_3245,Mulchén,-38.062,-72.50399999999999,2023-02-16 05:59:00,2023-02-17 19:40:00,0.48,6.34,37.68333333333333,5.859999999999999,1,0.5885704419889504,0.4605080831408775,0.5709996754300551,0.0,0.6483080110497237,0.6477900552486188,0.6641919889502762,0.5459584295612009,0.482217090069284,0.5200923787528868,0.4861246348588121,0.3439629990262901,0.2391269068484258,0.0,0.0,0.0
FIRE_3246,Mulchén,-38.292631578947365,-72.36140350877194,2023-02-16 18:18:00,2023-02-18 19:21:00,0.95,181.46,49.05,180.51000000000002,1,0.5885704419889504,0.4605080831408775,0.5709996754300551,0.0,0.6483080110497237,0.6477900552486188,0.6641919889502762,0.5459584295612009,0.482217090069284,0.5200923787528868,0.4861246348588121,0.3439629990262901,0.2391269068484258,0.0,0.0,0.0
FIRE_3247,Mulchén,-38.25875,-72.30125,2023-02-17 18:00:00,2023-02-18 05:21:00,4.66,43.55,11.35,38.89,1,0.6778314917127073,0.1806004618937644,0.3570269393054203,0.0,0.5885704419889504,0.6483080110497237,0.6477900552486188,0.4605080831408775,0.5459584295612009,0.482217090069284,0.5709996754300551,0.4861246348588121,0.3439629990262901,0.0,0.0,0.0
FIRE_3248,Mulchén,-37.96,-72.21230769230769,2023-02-17 05:40:00,2023-02-19 19:02:00,0.83,37.72,61.36666666666667,36.89,1,0.6778314917127073,0.1806004618937644,0.3570269393054203,0.0,0.5885704419889504,0.6483080110497237,0.6477900552486188,0.4605080831408775,0.5459584295612009,0.482217090069284,0.5709996754300551,0.4861246348588121,0.3439629990262901,0.0,0.0,0.0
FIRE_3249,Mulchén,-37.69,-71.49249999999999,2023-02-17 19:40:00,2023-02-24 05:08:00,1.12,45.16,153.46666666666667,44.04,1,0.6778314917127073,0.1806004618937644,0.3570269393054203,0.0,0.5885704419889504,0.6483080110497237,0.6477900552486188,0.4605080831408775,0.5459584295612009,0.482217090069284,0.5709996754300551,0.4861246348588121,0.3439629990262901,0.0,0.0,0.0
