latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-34.10363,-70.45557,314.51,0.74,0.76,2024-01-01,0435,N,VIIRS,n,2,285.62,6.16,N,2
-34.10491,-70.46015,323.6,0.74,0.76,2024-01-01,0435,N,VIIRS,n,2,285.63,5.05,N,2
-18.42869,-70.312,297.09,0.5,0.41,2024-01-01,0611,N,VIIRS,n,2,286.78,0.72,N,0
-23.77901,-70.31969,305.94,0.39,0.44,2024-01-01,0612,N,VIIRS,n,2,288.23,1.17,N,2
-23.82442,-70.31789,319.87,0.39,0.44,2024-01-01,0612,N,VIIRS,n,2,290.13,2.83,N,2
-23.82489,-70.31396,326.74,0.39,0.44,2024-01-01,0612,N,VIIRS,n,2,287.5,2.83,N,2
-23.78291,-70.31919,305.22,0.39,0.44,2024-01-01,0612,N,VIIRS,n,2,289.01,1.34,N,2
-23.78307,-70.32034,306.05,0.39,0.44,2024-01-01,0612,N,VIIRS,n,2,288.34,1.54,N,2
-27.41357,-70.25911,309.4,0.43,0.46,2024-01-01,0613,N,VIIRS,n,2,287.88,1.04,N,2
-26.43556,-69.47835,305.29,0.47,0.48,2024-01-01,0613,N,VIIRS,n,2,283.88,1.84,N,2
-26.43118,-69.47739,311.01,0.47,0.48,2024-01-01,0613,N,VIIRS,n,2,283.73,2.02,N,2
-27.42069,-70.25774,302.32,0.43,0.46,2024-01-01,0613,N,VIIRS,n,2,288.17,1.48,N,2
-27.41595,-70.26147,316.54,0.43,0.46,2024-01-01,0613,N,VIIRS,n,2,288.08,1.48,N,2
-27.41785,-70.25972,304,0.43,0.46,2024-01-01,0613,N,VIIRS,n,2,288.59,1.04,N,2
-28.48078,-71.24733,303.53,0.39,0.44,2024-01-01,0614,N,VIIRS,n,2,289.75,1.6,N,2
-28.4822,-71.24921,302.33,0.39,0.44,2024-01-01,0614,N,VIIRS,n,2,289.49,0.89,N,2
-33.5365,-70.82645,323.98,0.47,0.48,2024-01-01,0615,N,VIIRS,n,2,285.25,2.7,N,0
-33.53425,-70.82726,314.89,0.47,0.48,2024-01-01,0615,N,VIIRS,n,2,285.37,1.69,N,0
-34.10622,-70.4548,299.64,0.5,0.49,2024-01-01,0615,N,VIIRS,n,2,286.24,5.18,N,2
-34.10575,-70.46017,338.75,0.5,0.49,2024-01-01,0615,N,VIIRS,n,2,288.36,5.18,N,2
-39.4192,-71.94388,295.01,0.48,0.48,2024-01-01,0617,N,VIIRS,n,2,265.41,31.99,N,1
-39.42416,-71.939,306.3,0.48,0.48,2024-01-01,0617,N,VIIRS,n,2,262.45,2.3,N,1
-39.41961,-71.93915,334.79,0.48,0.48,2024-01-01,0617,N,VIIRS,n,2,280.47,31.99,N,1
-39.42024,-71.9317,305.23,0.48,0.48,2024-01-01,0617,N,VIIRS,n,2,266.92,4.84,N,1
-44.87231,-74.27152,302.07,0.42,0.45,2024-01-01,0618,N,VIIRS,n,2,280.76,0.81,N,0
-44.87066,-74.2721,296.31,0.42,0.45,2024-01-01,0618,N,VIIRS,n,2,280.7,1.03,N,0
-41.37061,-72.89899,334.81,0.42,0.38,2024-01-01,1835,N,VIIRS,n,2,308.78,3.82,D,0
-38.03183,-72.51775,343,0.4,0.37,2024-01-01,1836,N,VIIRS,n,2,305.25,2.26,D,0
-38.03521,-72.51697,336.87,0.4,0.37,2024-01-01,1836,N,VIIRS,n,2,309.19,2.26,D,0
-38.53877,-72.01289,346.25,0.39,0.36,2024-01-01,1836,N,VIIRS,n,2,298.42,5.01,D,0
-38.54149,-72.00756,346.84,0.39,0.36,2024-01-01,1836,N,VIIRS,n,2,300.03,22.26,D,0
-38.5455,-72.01131,337.08,0.39,0.36,2024-01-01,1836,N,VIIRS,l,2,310.04,9.46,D,0
-36.74646,-73.12659,342.82,0.4,0.37,2024-01-01,1837,N,VIIRS,n,2,308.39,3.95,D,2
-34.10704,-70.45756,347.23,0.4,0.37,2024-01-01,1837,N,VIIRS,n,2,317.74,7.69,D,2
-33.06275,-71.4746,336.23,0.39,0.36,2024-01-01,1838,N,VIIRS,n,2,304.25,2.18,D,0
-26.30052,-70.22061,346.97,0.49,0.4,2024-01-01,1839,N,VIIRS,l,2,320.07,8.59,D,0
-26.30141,-70.22547,348.96,0.49,0.4,2024-01-01,1839,N,VIIRS,l,2,322.92,8.42,D,0
-26.31813,-69.93353,348.23,0.5,0.41,2024-01-01,1839,N,VIIRS,l,2,323.05,4.36,D,0
-26.31722,-69.92854,349.65,0.5,0.41,2024-01-01,1839,N,VIIRS,l,2,322.87,4.83,D,0
-26.31631,-69.92355,349.3,0.51,0.41,2024-01-01,1839,N,VIIRS,l,2,322.67,4.83,D,0
-27.00479,-69.86714,344.81,0.5,0.41,2024-01-01,1839,N,VIIRS,l,2,319.59,13,D,0
-26.30879,-69.92525,347.33,0.51,0.41,2024-01-01,1839,N,VIIRS,l,2,322.21,5.69,D,0
-27.08459,-69.90006,345.31,0.49,0.41,2024-01-01,1839,N,VIIRS,l,2,319.16,10.03,D,0
-27.83964,-70.18292,351.39,0.47,0.4,2024-01-01,1839,N,VIIRS,n,2,320.1,11.05,D,0
-26.30333,-70.21483,347.85,0.49,0.4,2024-01-01,1839,N,VIIRS,l,2,318.64,7.11,D,0
-25.50727,-70.16909,356.67,0.51,0.41,2024-01-01,1840,N,VIIRS,n,2,319.48,4.65,D,0
-25.50353,-70.17003,355.48,0.51,0.41,2024-01-01,1840,N,VIIRS,n,2,319.29,4.65,D,0
-25.51229,-70.16035,351.29,0.51,0.41,2024-01-01,1840,N,VIIRS,n,2,319.17,6.13,D,0
-25.50571,-70.16713,344.8,0.5,0.41,2024-01-01,1840,N,VIIRS,l,2,319.36,5.55,D,0
-25.80916,-70.66564,338.56,0.47,0.4,2024-01-01,1840,N,VIIRS,l,2,311.8,1.05,D,0
-25.5029,-70.17308,344.03,0.5,0.41,2024-01-01,1840,N,VIIRS,l,2,318.9,2.22,D,0
-25.50664,-70.17212,350.85,0.5,0.41,2024-01-01,1840,N,VIIRS,n,2,319.21,2.22,D,0
-25.50637,-70.16409,347.16,0.51,0.41,2024-01-01,1840,N,VIIRS,l,2,319.55,6.46,D,0
-25.50818,-70.17412,350.71,0.5,0.41,2024-01-01,1840,N,VIIRS,n,2,319,4.65,D,0
-20.23163,-70.02512,344.45,0.42,0.45,2024-01-01,1841,N,VIIRS,n,2,309.71,3,D,0
-20.20425,-70.04743,305.68,0.38,0.36,2024-01-02,0552,N,VIIRS,n,2,285.66,0.78,N,0
-22.31541,-68.88116,315.76,0.4,0.37,2024-01-02,0553,N,VIIRS,n,2,286.13,1.81,N,2
-34.10468,-70.45093,303.54,0.44,0.39,2024-01-02,0556,N,VIIRS,n,2,286.26,0.75,N,2
-34.10404,-70.4558,320.07,0.44,0.39,2024-01-02,0556,N,VIIRS,n,2,285.8,1.84,N,2
-33.35241,-70.79559,301.57,0.43,0.38,2024-01-02,0556,N,VIIRS,n,2,287.25,0.76,N,0
-32.80048,-70.95444,300.92,0.42,0.37,2024-01-02,0556,N,VIIRS,n,2,287.67,2.14,N,2
-32.80456,-70.95067,302.22,0.42,0.37,2024-01-02,0556,N,VIIRS,n,2,287.49,2.14,N,2
-32.80396,-70.95512,330.65,0.42,0.37,2024-01-02,0556,N,VIIRS,n,2,290.24,2.14,N,2
-34.10765,-70.45626,331.61,0.44,0.39,2024-01-02,0556,N,VIIRS,n,2,290.43,14.56,N,2
-36.74412,-73.12534,297.28,0.39,0.37,2024-01-02,0557,N,VIIRS,n,2,287.23,0.41,N,2
-36.78216,-73.12696,308.89,0.39,0.37,2024-01-02,0557,N,VIIRS,n,2,288.25,0.87,N,0
-36.74751,-73.1261,314.08,0.39,0.37,2024-01-02,0557,N,VIIRS,n,2,287.32,0.8,N,2
-36.73735,-73.12383,304.74,0.39,0.37,2024-01-02,0557,N,VIIRS,n,2,287.93,0.65,N,2
-38.54171,-72.00826,342.75,0.43,0.38,2024-01-02,0558,N,VIIRS,n,2,286.14,2.62,N,0
-38.54108,-72.0132,324.59,0.43,0.38,2024-01-02,0558,N,VIIRS,n,2,283.97,2.62,N,0
-38.53818,-72.00748,300.44,0.43,0.38,2024-01-02,0558,N,VIIRS,n,2,283.29,2.62,N,0
-39.41994,-71.94235,330.89,0.44,0.38,2024-01-02,0558,N,VIIRS,n,2,276.09,50.87,N,1
-38.53887,-72.01166,337.81,0.56,0.43,2024-01-02,1817,N,VIIRS,n,2,295.75,8.81,D,0
-38.02053,-72.43289,335.14,0.38,0.43,2024-01-02,1817,N,VIIRS,n,2,308.53,1.76,D,0
-38.54287,-72.01093,349.18,0.56,0.43,2024-01-02,1817,N,VIIRS,n,2,304.31,8.81,D,0
-38.54221,-72.0043,350.2,0.56,0.43,2024-01-02,1817,N,VIIRS,n,2,314.51,47.4,D,0
-39.45189,-72.7658,326.39,0.41,0.45,2024-01-02,1817,N,VIIRS,l,2,300.92,3.5,D,0
-37.79581,-72.47894,330.53,0.38,0.43,2024-01-02,1817,N,VIIRS,l,2,305.32,4.31,D,0
-39.45255,-72.76365,326.61,0.41,0.45,2024-01-02,1817,N,VIIRS,l,2,299.89,3.4,D,0
-34.31718,-71.75691,367,0.49,0.4,2024-01-02,1818,N,VIIRS,l,2,325.36,39.03,D,0
-37.54268,-72.28551,339.84,0.56,0.43,2024-01-02,1818,N,VIIRS,n,2,309.4,8.73,D,0
-35.92414,-72.32192,347.4,0.54,0.42,2024-01-02,1818,N,VIIRS,l,2,319.24,44.16,D,0
-34.3203,-71.75098,348.48,0.49,0.4,2024-01-02,1818,N,VIIRS,l,2,321.97,9.87,D,0
-34.32093,-71.75628,349.05,0.49,0.4,2024-01-02,1818,N,VIIRS,n,2,321.06,8.25,D,0
